wds_identifier,wds_rownum
19172+0143B,116110.0
19172-0323A,116111.0
19172-1627TDT,116113.0
19172-4130UC,116114.0
19172-4130UC,116114.0
19172-6640GLE,116115.0
19172-6640GLE,116115.0
19173+6731UC,116116.0
19173+6731UC,116116.0
19173+3715HDS,116119.0
19173-0817TDT,116123.0
19173-1349TDT,116124.0
19173-3358RST,116127.0
19173-4138CPO,116128.0
19173-7923TDT,116129.0
19174+5036KOI,116131.0
19174+4146RAO,116132.0
19174+4004KOI,116133.0
19174+2416GCB,116137.0
19174+1640BPM,116138.0
19174+1000J,116140.0
19174+0115A,116141.0
19174-0025J,116144.0
19174-2216UC,116147.0
19174-2735UC,116148.0
19174-2735UC,116148.0
19174-5427UC,116150.0
19175+4132KOI,116154.0
19175+4000KOI,116155.0
19175+2638A,116156.0
19175+2638A,116156.0
19175+2638A,116156.0
19175-5001UC,116160.0
19176+4431KOI,116163.0
19176+4147KOI,116166.0
19176+4039KOI,116167.0
19176+4039KOI,116167.0
19176+2900COU,116168.0
19176+2900COU,116168.0
19176+2403POU,116169.0
19176-1857OCC,116172.0
19176-2223HTS,116174.0
19177+5100KOI,116205.0
19177+5016DEA,116207.0
19177+4644KOI,116208.0
19177+4131KOI,116210.0
19177+4131KOI,116210.0
19177+3654TDT,116211.0
19177+1531BPM,116215.0
19178+5950HDS,116225.0
19178+5422HO,116226.0
19178+4759TDT,116229.0
19178+3538BRT,116231.0
19178+0317A,116233.0
19178-1351J,116234.0
19178-1655RST,116236.0
19179+1912CHX,116241.0
19179-1903ARA,116244.0
19179-1906BRT,116245.0
19179-1925ARA,116247.0
19179-2029HJ,116248.0
19179-4547TDT,116260.0
19180+5808HJ,116262.0
19180+5141KOI,116263.0
19180+5141KOI,116263.0
19180+4149KOI,116266.0
19180+2012COU,116269.0
19180+1459BPM,116270.0
19180-0057HJ,116271.0
19180-0328STF,116272.0
19180-0328STF,116272.0
19180-2504HDS,116273.0
19181+5114KOI,116274.0
19181+4109KOI,116275.0
19181+4109KOI,116275.0
19181+4013KOI,116276.0
